valid_per_image_iou,valid_dataset_iou,epoch,step,train_per_image_iou,train_dataset_iou
0.8793709874153137,0.8896114230155945,0,206,,
,,0,206,0.8254207372665405,0.8299939036369324
0.8906673192977905,0.9004608392715454,1,413,,
,,1,413,0.8958553075790405,0.9061019420623779
0.89690762758255,0.9060887694358826,2,620,,
,,2,620,0.9107847213745117,0.9201609492301941
0.9025189876556396,0.9100673198699951,3,827,,
,,3,827,0.9201419949531555,0.9293319582939148
0.9039535522460938,0.9112837910652161,4,1034,,
,,4,1034,0.9278085827827454,0.9369106292724609
0.8982310891151428,0.9073594808578491,5,1241,,
,,5,1241,0.9311907887458801,0.9401562809944153
0.9010706543922424,0.909372091293335,6,1448,,
,,6,1448,0.93509441614151,0.9440104365348816
0.9002401828765869,0.9076352715492249,7,1655,,
,,7,1655,0.9350449442863464,0.943972110748291
0.9050701260566711,0.913493275642395,8,1862,,
,,8,1862,0.9386192560195923,0.9473268985748291
0.9041330814361572,0.9120941758155823,9,2069,,
,,9,2069,0.9429625868797302,0.9517267346382141
0.9060617685317993,0.9143990874290466,10,2276,,
,,10,2276,0.945999801158905,0.9546529054641724
0.9046403765678406,0.9121067523956299,11,2483,,
,,11,2483,0.9484973549842834,0.9564294219017029
